,Unnamed: 0,Star_name,Mass,Radius,Unnamed: 6,Star_name.1,Distance.1,solar_radius,solar_mass
66,66,R Doradus,0.7 - 1.0,298,66,2MASS J05591914-1404488 [de],34.0,0.0,0.0
67,67,Polaris Australis,1.59,3.74,67,LSR 0602+3910 [de],34.6,0.14489583,0.026728464
68,68,R Coronae Borealis,0.85,85,68,2MASS J06085283-2753583,102.0,0.15517213,0.036274344
69,69,54 Piscium,0.76,0.94,69,WISEP J061135.13-041024.0A,69.0,0.0,0.06204822
70,70,Mira,1.2,370,70,WISEP J061135.13-041024.0B,69.0,0.0,0.050593164
71,71,RW Cephei,13.9,"1,158",71,2MASS J06244595-4521548 [de],39.0,0.10173537,0.053456928
72,72,Lacaille 8760,0.6,0.51,72,2MASS J06411840-4322329 [de],65.0,0.10379063,0.063957396
73,73,V838 Monocerotis,?,380 - 750,73,DENIS-P J0652197-253450 [de],51.0,0.10790115,0.0715941
74,74,HD 140283,?,1.4,74,2MASS J07003664+3157266 [de],40.0,0.0,0.0
75,75,II Pegasi,0.8,3.4,75,2MASS J07075327-4900503,60.0,0.10584589,0.068730336
76,76,VY Canis Majoris,17,"1,420",76,UGPS J072227.51-054031.2,13.4,0.10070774,0.024819288
77,77,Pistol Star,100,320,77,2MASSI J0727182+171001 [de],29.6,0.09659722,0.039138108
78,78,S Doradus,24,380,78,2MASS J07290002-3954043 [de],25.8,0.09659722,0.035319756
79,79,UY Scuti,7–10,755,79,SDSS J074201.41+205520.5 [de],49.0,0.09659722,0.041047284
80,80,Barnard's Star,0.14,0.20,80,2MASS J0746425+200032 [fr],49.6,0.0,0.0
81,81,Luhman 16,0.04,?,81,DENIS-P J0751164-253043 [de],55.0,0.10584589,0.067775748
82,82,Proxima Centauri,0.12,0.15,82,2MASS J07522390+1612157,60.0,0.20655363,0.064911984
83,83,KIC 8462852,1.43,1.58,83,DENIS J081730.0-615520,16.1,0.09659722,0.042001872
84,84,R136a1,290,32,84,DENIS J082303.1−491201A,67.0,0.0,0.042001872
85,85,Melnick 42,189,21.1,85,DENIS J082303.1−491201B,67.0,0.0,0.026728464
86,86,WR 102,19,0.39,86,2MASS J08251968+2115521 [de],35.0,0.10070774,0.049638576
87,87,VFTS 352,57.48,14.47,87,SDSSp J083008.12+482847.4 [de],43.0,0.10173537,0.045820224
88,88,YBP 1194,1.01,0.99,88,LHS 2021,55.0,0.11817745,0.084003744
89,89,Gliese 1214,0.16,0.21,89,SDSS J083048.80+012831.1 [de],77.0,0.09865248,0.043911048
90,90,NML Cygni,50,"1,640 - 2,770",90,2MASSI J0835425-081923 [de],23.53,0.102763,0.059184456
91,91,VB 10,0.075,0.10,91,2MASSI J0847287-153237 [de],43.0,0.102763,0.061093632
92,92,WOH G64,<20,"1,540 - 1,730",92,2MASS J08533619-0329321,27.6,0.10995641,0.073503276
93,93,TRAPPIST-1,0.089,0.12,93,2MASSI J0859254-194926 [de],50.0,0.10070774,0.0477294
94,94,2MASS J0523-1403,0.07,0.086,94,2MASSW J0920122+351742 [de],95.0,0.0,0.0
95,95,WISE 0855−0714,0.003,?,95,2MASSI J0937347+293142,20.0,0.09659722,0.040092696
96,96,Icarus,33,?,96,2MASS 0939−2448,17.4,0.09762485,0.030546816
